Source file: STIRRER  LEFT.dnl
Date: 01.03.2020
Time: 15:13
User name: MASTERDRIVES VC(CUVC)
Device type: MASTERDRIVES VC(CUVC)
SW version: 03.4
Bus address: 0
;;;;
MFLB: 6SE70 .. [18] 21-3E.6.                        
Converter supply voltage: 415 V
Converter current(n): 13.2 A
Converter power(n): 5.5 kW
Date of generation: 20.1.2005
Operating hours: 540.3.3052

;Basic board;Slot A;Slot C;Slot D;Slot E;Slot F;Slot G
r697;SCB Diagnosis;002;Terr;0x0 
r697;SCB Diagnosis;003;Vaus;0x0 
r697;SCB Diagnosis;004;Toff;0x0 
r697;SCB Diagnosis;005;Parity Error;0x0 
r697;SCB Diagnosis;006;STX-Error;0x0 
r697;SCB Diagnosis;007;ETX-Error;0x0 
r697;SCB Diagnosis;008;BccC;0x0 
r697;SCB Diagnosis;009;L/Te;0x0 
r697;SCB Diagnosis;010;T/An;0x0 
r697;SCB Diagnosis;011;Reserve 1;0x0 
r697;SCB Diagnosis;012;Reserve 2;0x0 
r697;SCB Diagnosis;013;Warn;0x0 
r697;SCB Diagnosis;014;Slave 1?;0x0 
r697;SCB Diagnosis;015;Slave 2?;0x0 
r697;SCB Diagnosis;016;iniF;0x0 
r697;SCB Diagnosis;017;SCB Gen. Year;0x0 
r697;SCB Diagnosis;018;SCB GenDayMonth;0x0 
r697;SCB Diagnosis;019;SCI SL1 Version;0x0 
r697;SCB Diagnosis;020;SC1 SL1 GenYear;0x0 
r697;SCB Diagnosis;021;SCI SL1 GenDay;0x0 
r697;SCB Diagnosis;022;SCI SL2 Version;0x0 
r697;SCB Diagnosis;023;SCI SL2 GenYear;0x0 
r697;SCB Diagnosis;024;SCI SL2 GenDay;0x0 
P698;S.SCI DigOut;001;Slave 1 DO1;B0  FixBinector 0 
P698;S.SCI DigOut;002;Slave 1 DO2;B0  FixBinector 0 
P698;S.SCI DigOut;003;Slave 1 DO3;B0  FixBinector 0 
P698;S.SCI DigOut;004;Slave 1 DO4;B0  FixBinector 0 
P698;S.SCI DigOut;005;Slave 1 DO5;B0  FixBinector 0 
P698;S.SCI DigOut;006;Slave 1 DO6;B0  FixBinector 0 
P698;S.SCI DigOut;007;Slave 1 DO7;B0  FixBinector 0 
P698;S.SCI DigOut;008;Slave 1 DO8;B0  FixBinector 0 
P698;S.SCI DigOut;009;Slave 1 DO9;B0  FixBinector 0 
P698;S.SCI DigOut;010;Slave 1 DO10;B0  FixBinector 0 
P698;S.SCI DigOut;011;Slave 1 DO11;B0  FixBinector 0 
P698;S.SCI DigOut;012;Slave 1 DO12;B0  FixBinector 0 
P698;S.SCI DigOut;013;Slave 2 DO1;B0  FixBinector 0 
P698;S.SCI DigOut;014;Slave 2 DO2;B0  FixBinector 0 
P698;S.SCI DigOut;015;Slave 2 DO3;B0  FixBinector 0 
P698;S.SCI DigOut;016;Slave 2 DO4;B0  FixBinector 0 
P698;S.SCI DigOut;017;Slave 2 DO5;B0  FixBinector 0 
P698;S.SCI DigOut;018;Slave 2 DO6;B0  FixBinector 0 
P698;S.SCI DigOut;019;Slave 2 DO7;B0  FixBinector 0 
P698;S.SCI DigOut;020;Slave 2 DO8;B0  FixBinector 0 
P698;S.SCI DigOut;021;Slave 2 DO9;B0  FixBinector 0 
P698;S.SCI DigOut;022;Slave 2 DO10;B0  FixBinector 0 
P698;S.SCI DigOut;023;Slave 2 DO11;B0  FixBinector 0 
P698;S.SCI DigOut;024;Slave 2 DO12;B0  FixBinector 0 
r699;SCB/SCI Values;001;Tx W01/Slv1DI;0x0 
r699;SCB/SCI Values;002;Tx W02/Slv1AI1;0x0 
r699;SCB/SCI Values;003;Tx W03/Slv1AI2;0x0 
r699;SCB/SCI Values;004;Tx W04/Slv1AI3;0x0 
r699;SCB/SCI Values;005;Tx W05/Slv2DE;0x0 
r699;SCB/SCI Values;006;Tx W06/Slv2AI1;0x0 
r699;SCB/SCI Values;007;Tx W07/Slv2AI2;0x0 
r699;SCB/SCI Values;008;Tx W08/Slv2AI3;0x0 
r699;SCB/SCI Values;009;Tx W09/Slv1DO;0x0 
r699;SCB/SCI Values;010;Tx W10/Slv1AO1;0x0 
r699;SCB/SCI Values;011;Tx W11/Slv1AO2;0x0 
r699;SCB/SCI Values;012;Tx W12/Slv1AO3;0x0 
r699;SCB/SCI Values;013;TxW13/Slv2DO;0x0 
r699;SCB/SCI Values;014;Tx W14/Slv2AO1;0x0 
r699;SCB/SCI Values;015;Tx W15/Slv2AO2;0x0 
r699;SCB/SCI Values;016;Tx W16/Slv2AO3;0x0 
r699;SCB/SCI Values;017;Rx W01;0x0 
r699;SCB/SCI Values;018;Rx W02;0x0 
r699;SCB/SCI Values;019;Rx W03;0x0 
r699;SCB/SCI Values;020;Rx W04;0x0 
r699;SCB/SCI Values;021;Rx W05;0x0 
r699;SCB/SCI Values;022;Rx W06;0x0 
r699;SCB/SCI Values;023;Rx W07;0x0 
r699;SCB/SCI Values;024;Rx W08;0x0 
r699;SCB/SCI Values;025;Rx W09;0x0 
r699;SCB/SCI Values;026;Rx W10;0x0 
r699;SCB/SCI Values;027;Rx W11;0x0 
r699;SCB/SCI Values;028;Rx W12;0x0 
r699;SCB/SCI Values;029;Rx W13;0x0 
r699;SCB/SCI Values;030;Rx W14;0x0 
r699;SCB/SCI Values;031;Rx W15;0x0 
r699;SCB/SCI Values;032;Rx W16;0x0 
P700;SCom BusAddr;001;Ser.Interface1;0 
P700;SCom BusAddr;002;Ser.Interface2;0 
P700;SCom BusAddr;003;SCB-Interface;0 
P701;SCom Baud;001;Ser.Interface1;[8] 38400 Baud 
P701;SCom Baud;002;Ser.Interface2;[6] 9600 Baud 
P701;SCom Baud;003;SCB-Interface;[6] 9600 Baud 
P702;SCom PKW #;001;Ser.Interface1;127 
P702;SCom PKW #;002;Ser.Interface2;127 
P702;SCom PKW #;003;SCB-Interface;127 
P703;SCom PcD #;001;Ser.Interface1;2 
P703;SCom PcD #;002;Ser.Interface2;2 
P703;SCom PcD #;003;SCB-Interface;2 
P704;SCom TlgOFF;001;Ser.Interface1;0 ms
P704;SCom TlgOFF;002;Ser.Interface2;0 ms
P704;SCom TlgOFF;003;SCB-Interface;0 ms
P705;SCB Peer2PeerExt;001;W01;[0] Only CU 
P705;SCB Peer2PeerExt;002;W02;[0] Only CU 
P705;SCB Peer2PeerExt;003;W03;[0] Only CU 
P705;SCB Peer2PeerExt;004;W04;[0] Only CU 
P705;SCB Peer2PeerExt;005;W05;[0] Only CU 
P706;S.SCB TrnsData;001;W01;K0  FixConn 0% 
P706;S.SCB TrnsData;002;W02;K0  FixConn 0% 
P706;S.SCB TrnsData;003;W03;K0  FixConn 0% 
P706;S.SCB TrnsData;004;W04;K0  FixConn 0% 
P706;S.SCB TrnsData;005;W05;K0  FixConn 0% 
P706;S.SCB TrnsData;006;W06;K0  FixConn 0% 
P706;S.SCB TrnsData;007;W07;K0  FixConn 0% 
P706;S.SCB TrnsData;008;W08;K0  FixConn 0% 
P706;S.SCB TrnsData;009;W09;K0  FixConn 0% 
P706;S.SCB TrnsData;010;W10;K0  FixConn 0% 
P706;S.SCB TrnsData;011;W11;K0  FixConn 0% 
P706;S.SCB TrnsData;012;W12;K0  FixConn 0% 
P706;S.SCB TrnsData;013;W13;K0  FixConn 0% 
P706;S.SCB TrnsData;014;W14;K0  FixConn 0% 
P706;S.SCB TrnsData;015;W15;K0  FixConn 0% 
P706;S.SCB TrnsData;016;W16;K0  FixConn 0% 
P707;S.SCom1TrnsData;001;W01;K32  Status Word 1 
P707;S.SCom1TrnsData;002;W02;K0  FixConn 0% 
P707;S.SCom1TrnsData;003;W03;K0  FixConn 0% 
P707;S.SCom1TrnsData;004;W04;K0  FixConn 0% 
P707;S.SCom1TrnsData;005;W05;K0  FixConn 0% 
P707;S.SCom1TrnsData;006;W06;K0  FixConn 0% 
P707;S.SCom1TrnsData;007;W07;K0  FixConn 0% 
P707;S.SCom1TrnsData;008;W08;K0  FixConn 0% 
P707;S.SCom1TrnsData;009;W09;K0  FixConn 0% 
P707;S.SCom1TrnsData;010;W10;K0  FixConn 0% 
P707;S.SCom1TrnsData;011;W11;K0  FixConn 0% 
P707;S.SCom1TrnsData;012;W12;K0  FixConn 0% 
P707;S.SCom1TrnsData;013;W13;K0  FixConn 0% 
P707;S.SCom1TrnsData;014;W14;K0  FixConn 0% 
P707;S.SCom1TrnsData;015;W15;K0  FixConn 0% 
P707;S.SCom1TrnsData;016;W16;K0  FixConn 0% 
P708;S.SCom2TrnsData;001;W01;K0  FixConn 0% 
P708;S.SCom2TrnsData;002;W02;K0  FixConn 0% 
P708;S.SCom2TrnsData;003;W03;K0  FixConn 0% 
P708;S.SCom2TrnsData;004;W04;K0  FixConn 0% 
P708;S.SCom2TrnsData;005;W05;K0  FixConn 0% 
P708;S.SCom2TrnsData;006;W06;K0  FixConn 0% 
P708;S.SCom2TrnsData;007;W07;K0  FixConn 0% 
P708;S.SCom2TrnsData;008;W08;K0  FixConn 0% 
P708;S.SCom2TrnsData;009;W09;K0  FixConn 0% 
P708;S.SCom2TrnsData;010;W10;K0  FixConn 0% 
P708;S.SCom2TrnsData;011;W11;K0  FixConn 0% 
P708;S.SCom2TrnsData;012;W12;K0  FixConn 0% 
P708;S.SCom2TrnsData;013;W13;K0  FixConn 0% 
P708;S.SCom2TrnsData;014;W14;K0  FixConn 0% 
P708;S.SCom2TrnsData;015;W15;K0  FixConn 0% 
P708;S.SCom2TrnsData;016;W16;K0  FixConn 0% 
r709;SCom1/2 RecvData;001;W16;0x8 
r709;SCom1/2 RecvData;002;W16;0x0 
r709;SCom1/2 RecvData;003;W16;0x0 
r709;SCom1/2 RecvData;004;W16;0x0 
r709;SCom1/2 RecvData;005;W16;0x0 
r709;SCom1/2 RecvData;006;W16;0x0 
r709;SCom1/2 RecvData;007;W16;0x0 
r709;SCom1/2 RecvData;008;W16;0x0 
r709;SCom1/2 RecvData;009;W16;0x0 
r709;SCom1/2 RecvData;010;W16;0x0 
r709;SCom1/2 RecvData;011;W16;0x0 
r709;SCom1/2 RecvData;012;W16;0x0 
r709;SCom1/2 RecvData;013;W16;0x0 
r709;SCom1/2 RecvData;014;W16;0x0 
r709;SCom1/2 RecvData;015;W16;0x0 
r709;SCom1/2 RecvData;016;W16;0x0 
r709;SCom1/2 RecvData;017;W16;0x0 
r709;SCom1/2 RecvData;018;W16;0x0 
r709;SCom1/2 RecvData;019;W16;0x0 
r709;SCom1/2 RecvData;020;W16;0x0 
r709;SCom1/2 RecvData;021;W16;0x0 
r709;SCom1/2 RecvData;022;W16;0x0 
r709;SCom1/2 RecvData;023;W16;0x0 
r709;SCom1/2 RecvData;024;W16;0x0 
r709;SCom1/2 RecvData;025;W16;0x0 
r709;SCom1/2 RecvData;026;W16;0x0 
r709;SCom1/2 RecvData;027;W16;0x0 
r709;SCom1/2 RecvData;028;W16;0x0 
r709;SCom1/2 RecvData;029;W16;0x0 
r709;SCom1/2 RecvData;030;W16;0x0 
r709;SCom1/2 RecvData;031;W16;0x0 
r709;SCom1/2 RecvData;032;W16;0x0 
r710;SCom1/2 TrnsData;001;W16;0x5734 
r710;SCom1/2 TrnsData;002;W16;0x0 
r710;SCom1/2 TrnsData;003;W16;0x0 
r710;SCom1/2 TrnsData;004;W16;0x0 
r710;SCom1/2 TrnsData;005;W16;0x0 
r710;SCom1/2 TrnsData;006;W16;0x0 
r710;SCom1/2 TrnsData;007;W16;0x0 
r710;SCom1/2 TrnsData;008;W16;0x0 
r710;SCom1/2 TrnsData;009;W16;0x0 
r710;SCom1/2 TrnsData;010;W16;0x0 
r710;SCom1/2 TrnsData;011;W16;0x0 
r710;SCom1/2 TrnsData;012;W16;0x0 
r710;SCom1/2 TrnsData;013;W16;0x0 
r710;SCom1/2 TrnsData;014;W16;0x0 
r710;SCom1/2 TrnsData;015;W16;0x0 
r710;SCom1/2 TrnsData;016;W16;0x0 
r710;SCom1/2 TrnsData;017;W16;0x0 
r710;SCom1/2 TrnsData;018;W16;0x0 
r710;SCom1/2 TrnsData;019;W16;0x0 
r710;SCom1/2 TrnsData;020;W16;0x0 
r710;SCom1/2 TrnsData;021;W16;0x0 
r710;SCom1/2 TrnsData;022;W16;0x0 
r710;SCom1/2 TrnsData;023;W16;0x0 
r710;SCom1/2 TrnsData;024;W16;0x0 
r710;SCom1/2 TrnsData;025;W16;0x0 
r710;SCom1/2 TrnsData;026;W16;0x0 
r710;SCom1/2 TrnsData;027;W16;0x0 
r710;SCom1/2 TrnsData;028;W16;0x0 
r710;SCom1/2 TrnsData;029;W16;0x0 
r710;SCom1/2 TrnsData;030;W16;0x0 
r710;SCom1/2 TrnsData;031;W16;0x0 
r710;SCom1/2 TrnsData;032;W16;0x0 
P711;CB Parameter 1;001;W16;0 
P711;CB Parameter 1;002;W16;0 
P712;CB Parameter 2;001;W16;0 
P712;CB Parameter 2;002;W16;0 
P713;CB Parameter 3;001;W16;0 
P713;CB Parameter 3;002;W16;0 
P714;CB Parameter 4;001;W16;0 
P714;CB Parameter 4;002;W16;0 
P715;CB Parameter 5;001;W16;0 
P715;CB Parameter 5;002;W16;0 
P716;CB Parameter 6;001;W16;0 
P716;CB Parameter 6;002;W16;0 
P717;CB Parameter 7;001;W16;0 
P717;CB Parameter 7;002;W16;0 
P718;CB Parameter 8;001;W16;0 
P718;CB Parameter 8;002;W16;0 
P719;CB Parameter 9;001;W16;0 
P719;CB Parameter 9;002;W16;0 
P720;CB Parameter 10;001;W16;0 
P720;CB Parameter 10;002;W16;0 
P721;CB Parameter 11;001;W16;0 
P721;CB Parameter 11;002;W16;0 
P721;CB Parameter 11;003;W16;0 
P721;CB Parameter 11;004;W16;0 
P721;CB Parameter 11;005;W16;0 
P721;CB Parameter 11;006;W16;0 
P721;CB Parameter 11;007;W16;0 
P721;CB Parameter 11;008;W16;0 
P721;CB Parameter 11;009;W16;0 
P721;CB Parameter 11;010;W16;0 
P722;CB/TB TlgOFF;001;W16;10 ms
P722;CB/TB TlgOFF;002;W16;10 ms
P724;Select CB synch;000;W16;[0] Sync of 1st CB 
r732;CB Diagnosis;001;W16;0x0 
r732;CB Diagnosis;002;W16;0x0 
r732;CB Diagnosis;003;W16;0x0 
r732;CB Diagnosis;004;W16;0x0 
r732;CB Diagnosis;005;W16;0x0 
r732;CB Diagnosis;006;W16;0x0 
r732;CB Diagnosis;007;W16;0x0 
r732;CB Diagnosis;008;W16;0x0 
r732;CB Diagnosis;009;W16;0x0 
r732;CB Diagnosis;010;W16;0x0 
r732;CB Diagnosis;011;W16;0x0 
r732;CB Diagnosis;012;W16;0x0 
r732;CB Diagnosis;013;W16;0x0 
r732;CB Diagnosis;014;W16;0x0 
r732;CB Diagnosis;015;W16;0x0 
r732;CB Diagnosis;016;W16;0x0 
r732;CB Diagnosis;017;W16;0x0 
r732;CB Diagnosis;018;W16;0x0 
r732;CB Diagnosis;019;W16;0x0 
r732;CB Diagnosis;020;W16;0x0 
r732;CB Diagnosis;021;W16;0x0 
r732;CB Diagnosis;022;W16;0x0 
r732;CB Diagnosis;023;W16;0x0 
r732;CB Diagnosis;024;W16;0x0 
r732;CB Diagnosis;025;W16;0x0 
r732;CB Diagnosis;026;W16;0x0 
r732;CB Diagnosis;027;W16;0x0 
r732;CB Diagnosis;028;W16;0x0 
r732;CB Diagnosis;029;W16;0x0 
r732;CB Diagnosis;030;W16;0x0 
r732;CB Diagnosis;031;W16;0x0 
r732;CB Diagnosis;032;W16;0x0 
r732;CB Diagnosis;033;W16;0x0 
r732;CB Diagnosis;034;W16;0x0 
r732;CB Diagnosis;035;W16;0x0 
r732;CB Diagnosis;036;W16;0x0 
r732;CB Diagnosis;037;W16;0x0 
r732;CB Diagnosis;038;W16;0x0 
r732;CB Diagnosis;039;W16;0x0 
r732;CB Diagnosis;040;W16;0x0 
r732;CB Diagnosis;041;W16;0x0 
r732;CB Diagnosis;042;W16;0x0 
r732;CB Diagnosis;043;W16;0x0 
r732;CB Diagnosis;044;W16;0x0 
r732;CB Diagnosis;045;W16;0x0 
r732;CB Diagnosis;046;W16;0x0 
r732;CB Diagnosis;047;W16;0x0 
r732;CB Diagnosis;048;W16;0x0 
r732;CB Diagnosis;049;W16;0x0 
r732;CB Diagnosis;050;W16;0x0 
r732;CB Diagnosis;051;W16;0x0 
r732;CB Diagnosis;052;W16;0x0 
r732;CB Diagnosis;053;W16;0x0 
r732;CB Diagnosis;054;W16;0x0 
r732;CB Diagnosis;055;W16;0x0 
r732;CB Diagnosis;056;W16;0x0 
r732;CB Diagnosis;057;W16;0x0 
r732;CB Diagnosis;058;W16;0x0 
r732;CB Diagnosis;059;W16;0x0 
r732;CB Diagnosis;060;W16;0x0 
r732;CB Diagnosis;061;W16;0x0 
r732;CB Diagnosis;062;W16;0x0 
r732;CB Diagnosis;063;W16;0x0 
r732;CB Diagnosis;064;W16;0x0 
r733;CB/TB RecvData;001;W16;0x0 
r733;CB/TB RecvData;002;W16;0x0 
r733;CB/TB RecvData;003;W16;0x0 
r733;CB/TB RecvData;004;W16;0x0 
r733;CB/TB RecvData;005;W16;0x0 
r733;CB/TB RecvData;006;W16;0x0 
r733;CB/TB RecvData;007;W16;0x0 
r733;CB/TB RecvData;008;W16;0x0 
r733;CB/TB RecvData;009;W16;0x0 
r733;CB/TB RecvData;010;W16;0x0 
r733;CB/TB RecvData;011;W16;0x0 
r733;CB/TB RecvData;012;W16;0x0 
r733;CB/TB RecvData;013;W16;0x0 
r733;CB/TB RecvData;014;W16;0x0 
r733;CB/TB RecvData;015;W16;0x0 
r733;CB/TB RecvData;016;W16;0x0 
r733;CB/TB RecvData;017;W16;0x0 
r733;CB/TB RecvData;018;W16;0x0 
r733;CB/TB RecvData;019;W16;0x0 
r733;CB/TB RecvData;020;W16;0x0 
r733;CB/TB RecvData;021;W16;0x0 
r733;CB/TB RecvData;022;W16;0x0 
r733;CB/TB RecvData;023;W16;0x0 
r733;CB/TB RecvData;024;W16;0x0 
r733;CB/TB RecvData;025;W16;0x0 
r733;CB/TB RecvData;026;W16;0x0 
r733;CB/TB RecvData;027;W16;0x0 
r733;CB/TB RecvData;028;W16;0x0 
r733;CB/TB RecvData;029;W16;0x0 
r733;CB/TB RecvData;030;W16;0x0 
r733;CB/TB RecvData;031;W16;0x0 
r733;CB/TB RecvData;032;W16;0x0 
P734;S.CB/TBTrnsData;001;W01;K32  Status Word 1 
P734;S.CB/TBTrnsData;002;W02;K0  FixConn 0% 
P734;S.CB/TBTrnsData;003;W03;K0  FixConn 0% 
P734;S.CB/TBTrnsData;004;W04;K0  FixConn 0% 
P734;S.CB/TBTrnsData;005;W05;K0  FixConn 0% 
P734;S.CB/TBTrnsData;006;W06;K0  FixConn 0% 
P734;S.CB/TBTrnsData;007;W07;K0  FixConn 0% 
P734;S.CB/TBTrnsData;008;W08;K0  FixConn 0% 
P734;S.CB/TBTrnsData;009;W09;K0  FixConn 0% 
P734;S.CB/TBTrnsData;010;W10;K0  FixConn 0% 
P734;S.CB/TBTrnsData;011;W11;K0  FixConn 0% 
P734;S.CB/TBTrnsData;012;W12;K0  FixConn 0% 
P734;S.CB/TBTrnsData;013;W13;K0  FixConn 0% 
P734;S.CB/TBTrnsData;014;W14;K0  FixConn 0% 
P734;S.CB/TBTrnsData;015;W15;K0  FixConn 0% 
P734;S.CB/TBTrnsData;016;W16;K0  FixConn 0% 
r735;CB/TB TrnsData;001;W16;0x0 
r735;CB/TB TrnsData;002;W16;0x0 
r735;CB/TB TrnsData;003;W16;0x0 
r735;CB/TB TrnsData;004;W16;0x0 
r735;CB/TB TrnsData;005;W16;0x0 
r735;CB/TB TrnsData;006;W16;0x0 
r735;CB/TB TrnsData;007;W16;0x0 
r735;CB/TB TrnsData;008;W16;0x0 
r735;CB/TB TrnsData;009;W16;0x0 
r735;CB/TB TrnsData;010;W16;0x0 
r735;CB/TB TrnsData;011;W16;0x0 
r735;CB/TB TrnsData;012;W16;0x0 
r735;CB/TB TrnsData;013;W16;0x0 
r735;CB/TB TrnsData;014;W16;0x0 
r735;CB/TB TrnsData;015;W16;0x0 
r735;CB/TB TrnsData;016;W16;0x0 
r735;CB/TB TrnsData;017;W16;0x0 
r735;CB/TB TrnsData;018;W16;0x0 
r735;CB/TB TrnsData;019;W16;0x0 
r735;CB/TB TrnsData;020;W16;0x0 
r735;CB/TB TrnsData;021;W16;0x0 
r735;CB/TB TrnsData;022;W16;0x0 
r735;CB/TB TrnsData;023;W16;0x0 
r735;CB/TB TrnsData;024;W16;0x0 
r735;CB/TB TrnsData;025;W16;0x0 
r735;CB/TB TrnsData;026;W16;0x0 
r735;CB/TB TrnsData;027;W16;0x0 
r735;CB/TB TrnsData;028;W16;0x0 
r735;CB/TB TrnsData;029;W16;0x0 
r735;CB/TB TrnsData;030;W16;0x0 
r735;CB/TB TrnsData;031;W16;0x0 
r735;CB/TB TrnsData;032;W16;0x0 
P736;S.CB2 TrnsData;001;W01;K32  Status Word 1 
P736;S.CB2 TrnsData;002;W02;K0  FixConn 0% 
P736;S.CB2 TrnsData;003;W03;K0  FixConn 0% 
P736;S.CB2 TrnsData;004;W04;K0  FixConn 0% 
P736;S.CB2 TrnsData;005;W05;K0  FixConn 0% 
P736;S.CB2 TrnsData;006;W06;K0  FixConn 0% 
P736;S.CB2 TrnsData;007;W07;K0  FixConn 0% 
P736;S.CB2 TrnsData;008;W08;K0  FixConn 0% 
P736;S.CB2 TrnsData;009;W09;K0  FixConn 0% 
P736;S.CB2 TrnsData;010;W10;K0  FixConn 0% 
P736;S.CB2 TrnsData;011;W11;K0  FixConn 0% 
P736;S.CB2 TrnsData;012;W12;K0  FixConn 0% 
P736;S.CB2 TrnsData;013;W13;K0  FixConn 0% 
P736;S.CB2 TrnsData;014;W14;K0  FixConn 0% 
P736;S.CB2 TrnsData;015;W15;K0  FixConn 0% 
P736;S.CB2 TrnsData;016;W16;K0  FixConn 0% 
r738;PKW Order;001;ST1 ID/Param#;0x62 
r738;PKW Order;002;ST1 Index;0x0 
r738;PKW Order;003;ST1-PWE 1;0x0 
r738;PKW Order;004;ST1-PWE 2;0x37 
r738;PKW Order;005;1.CBP ID/Param#;0x0 
r738;PKW Order;006;1st CBP Index;0x0 
r738;PKW Order;007;1.CBP-PWE 1;0x0 
r738;PKW Order;008;1.CBP-PWE 2;0x0 
r738;PKW Order;009;SCB ID/Param#;0x0 
r738;PKW Order;010;SCB Index;0x0 
r738;PKW Order;011;SCB-PWE 1;0x0 
r738;PKW Order;012;SCB-PWE 2;0x0 
r738;PKW Order;013;ST2 ID/Param#;0x4502 
r738;PKW Order;014;ST2-Index;0x4502 
r738;PKW Order;015;ST2-PWE 1;0x4502 
r738;PKW Order;016;ST2-PWE 2;0x4502 
r738;PKW Order;017;2.CBP ID/Param#;0x0 
r738;PKW Order;018;2.CBP-Index;0x0 
r738;PKW Order;019;2.CBP-PWE 1;0x0 
r738;PKW Order;020;2.CBP-PWE 2;0x0 
r739;PKW Reply;001;ST1 ID/Param#;0x42 
r739;PKW Reply;002;ST1 Index;0x0 
r739;PKW Reply;003;ST1-PWE 1;0x62 
r739;PKW Reply;004;ST1-PWE 2;0x0 
r739;PKW Reply;005;1.CBP ID/Param#;0x0 
r739;PKW Reply;006;1st CBP Index;0x0 
r739;PKW Reply;007;1.CBP-PWE 1;0x0 
r739;PKW Reply;008;1.CBP-PWE 2;0x0 
r739;PKW Reply;009;SCB ID/Param#;0x0 
r739;PKW Reply;010;SCB Index;0x0 
r739;PKW Reply;011;SCB-PWE 1;0x0 
r739;PKW Reply;012;SCB-PWE 2;0x0 
r739;PKW Reply;013;ST2 ID/Param#;0x0 
r739;PKW Reply;014;ST2-Index;0x0 
r739;PKW Reply;015;ST2-PWE 1;0x0 
r739;PKW Reply;016;ST2-PWE 2;0x0 
r739;PKW Reply;017;2.CBP ID/Param#;0x0 
r739;PKW Reply;018;2.CBP-Index;0x0 
r739;PKW Reply;019;2.CBP-PWE 1;0x0 
r739;PKW Reply;020;2.CBP-PWE 2;0x0 
P740;SLB NodeAddr;001;1st SLB;1 
P740;SLB NodeAddr;002;2nd SLB;1 
P741;SLB TlgOFF;000;2nd SLB;0 ms
P742;SLB Trns Power;000;2nd SLB;3 
P743;SLB # Nodes;001;1st SLB;0 
P743;SLB # Nodes;002;2nd SLB;0 
P744;S.SYNC Sel;001;2nd SLB;B0  FixBinector 0 
P744;S.SYNC Sel;002;2nd SLB;B0  FixBinector 0 
P745;SLB Channel #;001;1st SLB;2 
P745;SLB Channel #;002;2nd SLB;2 
P746;SLB Cycle Time;001;1st SLB;3.20 ms
P746;SLB Cycle Time;002;2nd SLB;3.20 ms
P747;S.SLBAppl.Flags;001;2nd SLB;B0  FixBinector 0 
P747;S.SLBAppl.Flags;002;2nd SLB;B0  FixBinector 0 
P747;S.SLBAppl.Flags;003;2nd SLB;B0  FixBinector 0 
P747;S.SLBAppl.Flags;004;2nd SLB;B0  FixBinector 0 
r748;SLB Diagnosis;001;Count SYNC Tlg;0 
r748;SLB Diagnosis;002;Count CRC fault;0 
r748;SLB Diagnosis;003;Count Timeout;0 
r748;SLB Diagnosis;004;Count Addr Node;0 
r748;SLB Diagnosis;005;NodeAddrTimeout;0 
r748;SLB Diagnosis;006;SYNC Delay;0 
r748;SLB Diagnosis;007;Pos Node;0 
r748;SLB Diagnosis;008;DispNode;0 
r748;SLB Diagnosis;009;SYNC Dev;0 
r748;SLB Diagnosis;010;ComPulseperiod;0 
r748;SLB Diagnosis;011;T0 Counter;0 
r748;SLB Diagnosis;012;-;0 
r748;SLB Diagnosis;013;-;0 
r748;SLB Diagnosis;014;TimeCounter;0 
r748;SLB Diagnosis;015;RealCycleTime;0 
r748;SLB Diagnosis;016;-;0 
r748;SLB Diagnosis;017;-;0 
P749;SLB Read Addr;001;-;0.0 
P749;SLB Read Addr;002;-;0.1 
P749;SLB Read Addr;003;-;1.0 
P749;SLB Read Addr;004;-;1.1 
P749;SLB Read Addr;005;-;2.0 
P749;SLB Read Addr;006;-;2.1 
P749;SLB Read Addr;007;-;3.0 
P749;SLB Read Addr;008;-;3.1 
r750;SLB Rcv Data;001;-;0x0 
r750;SLB Rcv Data;002;-;0x0 
r750;SLB Rcv Data;003;-;0x0 
r750;SLB Rcv Data;004;-;0x0 
r750;SLB Rcv Data;005;-;0x0 
r750;SLB Rcv Data;006;-;0x0 
r750;SLB Rcv Data;007;-;0x0 
r750;SLB Rcv Data;008;-;0x0 
r750;SLB Rcv Data;009;-;0x0 
r750;SLB Rcv Data;010;-;0x0 
r750;SLB Rcv Data;011;-;0x0 
r750;SLB Rcv Data;012;-;0x0 
r750;SLB Rcv Data;013;-;0x0 
r750;SLB Rcv Data;014;-;0x0 
r750;SLB Rcv Data;015;-;0x0 
r750;SLB Rcv Data;016;-;0x0 
P751;S.SLBTrnsData;001;-;K0  FixConn 0% 
P751;S.SLBTrnsData;002;-;K0  FixConn 0% 
P751;S.SLBTrnsData;003;-;K0  FixConn 0% 
P751;S.SLBTrnsData;004;-;K0  FixConn 0% 
P751;S.SLBTrnsData;005;-;K0  FixConn 0% 
P751;S.SLBTrnsData;006;-;K0  FixConn 0% 
P751;S.SLBTrnsData;007;-;K0  FixConn 0% 
P751;S.SLBTrnsData;008;-;K0  FixConn 0% 
P751;S.SLBTrnsData;009;-;K0  FixConn 0% 
P751;S.SLBTrnsData;010;-;K0  FixConn 0% 
P751;S.SLBTrnsData;011;-;K0  FixConn 0% 
P751;S.SLBTrnsData;012;-;K0  FixConn 0% 
P751;S.SLBTrnsData;013;-;K0  FixConn 0% 
P751;S.SLBTrnsData;014;-;K0  FixConn 0% 
P751;S.SLBTrnsData;015;-;K0  FixConn 0% 
P751;S.SLBTrnsData;016;-;K0  FixConn 0% 
